SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "dt_iris_split_60", 
    "policy": {
        "step_pipeline": 60
    }, 
    "setup": {
        "algorithm": "DecisionTree", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Decision Tree on Iris with Split policy"
}
## Data Pipeline
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0533333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0533333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.56 (0.08) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0533333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.56 (0.08) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.0516397779494) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.049888765157) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0533333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
